City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Hay River,CA,60.8156,-115.7999,19.38,93,75,6.91,broken clouds
319,Juneau,US,58.3019,-134.4197,39.22,94,100,26.46,light rain
320,Tessalit,ML,20.1986,1.0114,74.91,18,32,10.2,scattered clouds
321,Chifeng,CN,42.2683,118.9636,16.72,79,0,5.14,clear sky
322,Staraya Toropa,RU,56.2801,31.6702,46.71,73,11,14.56,few clouds
323,Lata,PT,40.1629,-8.3327,55.08,82,95,3.51,overcast clouds
324,Pacifica,US,37.6138,-122.4869,62.22,63,20,17.27,few clouds
325,Calabar,NG,4.9517,8.322,75.87,92,96,3.67,overcast clouds
326,Hovd,MN,48.0056,91.6419,22.42,47,92,8.5,overcast clouds
327,Mitsamiouli,KM,-11.3847,43.2844,76.91,78,0,6.89,clear sky
328,Torbay,CA,47.6666,-52.7314,45.28,98,100,25.32,heavy intensity rain
329,Tateyama,JP,34.9833,139.8667,69.82,71,17,17.22,few clouds
330,Kieta,PG,-6.2167,155.6333,81.0,81,100,3.42,light rain
331,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,19,0.0,few clouds
332,Virginia Beach,US,36.8529,-75.978,75.24,69,75,10.36,broken clouds
333,Haines Junction,CA,60.7522,-137.5108,39.15,56,25,9.22,scattered clouds
334,Kavieng,PG,-2.5744,150.7967,83.68,73,100,11.88,overcast clouds
335,Launceston,AU,-41.45,147.1667,50.14,92,100,11.5,moderate rain
336,Thaba-Tseka,LS,-29.522,28.6084,53.64,86,100,4.72,overcast clouds
337,Ellisras,ZA,-23.6649,27.7443,70.03,79,100,3.31,light rain
338,Grand-Lahou,CI,5.1367,-5.0242,78.08,85,62,5.82,light rain
339,San Quintin,MX,30.4833,-115.95,65.91,45,8,12.17,clear sky
340,Dawlatabad,AF,36.4141,64.9053,48.43,56,100,2.57,overcast clouds
341,Hofn,IS,64.2539,-15.2082,44.44,83,100,8.25,overcast clouds
342,Batavia,US,41.85,-88.3126,34.92,69,100,11.5,overcast clouds
343,Sinjai,ID,-5.1241,120.253,76.26,87,100,3.36,overcast clouds
344,Marzuq,YE,14.4,46.4667,63.27,57,0,1.05,clear sky
345,Sur,OM,22.5667,59.5289,77.61,54,1,7.27,clear sky
